# smile Persian teacher dictionary v2 — UTF-8 TSV
# columns: word<TAB>frequency<TAB>status<TAB>source_or_note
# membership source: Lilak Persian Spell Checking Dictionary (Apache-2.0)
# frequency source: filtered subtitle frequencies (CC BY-SA 4.0); frequency is weight, not proof of validity
# statuses understood by the loader: verified | suggested | blocked
# Do not edit this generated base directly; put personal changes in my_words.tsv.
آتشین	356	verified	lilak:adjective
آتشین‌مزاج	1	verified	lilak:noun_singular
آتش‌پاره	2	verified	lilak:adjective
آتش‌پرست	1	verified	lilak:noun_singular
آتش‌پرستی	1	verified	lilak:noun_singular
آتش‌پور	1	verified	lilak:noun_singular
آتل	36	verified	lilak:noun_singular
آتلانتا	280	verified	lilak:noun_singular
آتلانتیس	64	verified	lilak:noun_singular
آتلانتیک	190	verified	lilak:noun_singular
آتل‌بندی	1	verified	lilak:noun_singular
آتلتیکو	1	verified	lilak:noun_singular
آتلیه	19	verified	lilak:noun_singular
آتن	109	verified	lilak:noun_singular
آتنا	45	verified	lilak:noun_singular
آتنه	2	verified	lilak:noun_singular
آتو	87	verified	lilak:noun_singular
آتوسا	1	verified	lilak:noun_singular
آتی	68	verified	lilak:adjective
آتیلا	27	verified	lilak:noun_singular
آتیه	11	verified	lilak:noun_singular
آتیه‌دار	1	verified	lilak:noun_singular
آتیه‌ساز	1	verified	lilak:adjective
آثار	583	verified	lilak:noun_plural
آثارالباقیه	1	verified	lilak:noun_singular
آثاری	29	verified	lilak:noun_singular
آج	10	verified	lilak:noun_singular
آجان	5	verified	lilak:noun_singular
آج‌دار	1	verified	lilak:noun_singular
آجر	235	verified	lilak:noun_singular
آجرچین	2	verified	lilak:noun_singular
آجرچینی	1	verified	lilak:noun_singular
آجرشکل	1	verified	lilak:adjective
آجرکار	1	verified	lilak:noun_singular
آجرکاری	1	verified	lilak:noun_singular
آجرلو	1	verified	lilak:noun_singular
آجرنما	1	verified	lilak:noun_singular
آجرپاره	2	verified	lilak:noun_singular
آجرپز	1	verified	lilak:noun_singular
آجرپزی	3	verified	lilak:noun_singular
آجل	1	verified	lilak:adjective
آجلان	1	verified	lilak:noun_singular
آجودان	9	verified	lilak:noun_singular
آجودان‌آباد	1	verified	lilak:noun_singular
آجودانی	1	verified	lilak:noun_singular
آجودانیه	1	verified	lilak:noun_singular
آجی	100	verified	lilak:noun_singular
آجیدن	1	verified	lilak:noun_singular
آجیل	149	verified	lilak:noun_singular
آجیل‌خوری	1	verified	lilak:noun_singular
آجیلدان	1	verified	lilak:noun_singular
آجیلی	9	verified	lilak:noun_singular
آجیلیان	1	verified	lilak:noun_singular
آچار	139	verified	lilak:noun_singular
آچارکار	1	verified	lilak:adjective
آچارکشی	1	verified	lilak:noun_singular
آچمز	3	verified	lilak:adjective
آچمزی	1	verified	lilak:noun_singular
آچه	1	verified	lilak:noun_singular
آحاد	1	verified	lilak:noun_plural
آخ	1687	verified	lilak:noun_singular
آخت	1	verified	lilak:verb
آختم	1	verified	lilak:verb
آختن	1	verified	lilak:noun_singular
آختند	1	verified	lilak:verb
آخته	2	verified	lilak:adjective
آخته‌ام	1	verified	lilak:verb
آخته‌اند	1	verified	lilak:verb
آخته‌ای	1	verified	lilak:verb
آخته‌اید	1	verified	lilak:verb
آخته‌ایم	1	verified	lilak:verb
آختی	1	verified	lilak:verb
آختید	1	verified	lilak:verb
آختیم	1	verified	lilak:verb
آخر	8526	verified	lilak:adjective
